tonys,Iron Man,av1 av2 av3 ca3 im1 im2 im3 sm1 
stever,Captain America,av1 av2 av3 ca1 ca2 ca3 
bruceb,Hulk,av1 av2 av3 hk1 th3 
rhody,War Machine,av2 av3 ca3 im2 im3 
obadiahs,Iron Monger,im1 
trevors,Mandarin,im3 
emilb,Abomination,hk1 
algrim,Kurse,th2 
valk,Scrapper 142,th3 
bucky,Winter Soldier,ca2 
johanns,Red Skull,ca1 
brockr,Crossbones,ca3 
tchalla,Black Panther,av3 bp1 ca3 
peterq,Star-Lord,av3 gotg1 gotg2 
scottl,Ant-Man,am1 av3 ca3 
darrenc,Yellowjacket,am1 
peterp,Spider-Man,av3 sm1 
adriant,Vulture,sm1 
erikk,Black Panther (Killmonger),bp1 
howardso,Howard Stark (Young),ca1 
antonvo,Anton Vanko (Young),tv 
bruceb,Gladiator Hulk,th3 
ultronu,Ultron Prime,av2 
ultronu,Ultron Mk1,av2 
thanos,Thanos,av3 gotg1 
groota,Groot (Teen),gotg2 
groota,Groot (Baby),gotg2 
meredithq,Meredith Quill (Young),gotg2 
tchaka,T'Chaka (Young),bp1 
zuri,Zuri (Young),bp1 
groota,Groot (Potted),gotg1 
blackw,Natasha Romanoff,ca3 
heimdall,Heimdall,th1 th2 
thor,Thor,av1 av2 th1 th2 
stanlee,Stan Lee (as Hugh Hefner),im1 
stanlee,Stan Lee (as Poisoned Old Man),hk1 
stanlee,Stan Lee (as Larry King),im2 
stanlee,Stan Lee (as Trucker),th1 
stanlee,Stan Lee (as WWII General),ca1 
stanlee,Stan Lee (as Chess Player Interviewee),av1 
stanlee,Stan Lee (as Contest Judge),im3 
stanlee,Stan Lee (as Asylum Patient),th2 
stanlee,Stan Lee (as Security Guard),ca2 
stanlee,Stan Lee (as Pervy Old Man),gotg1 
stanlee,Stan Lee (as WWII Veteran),av2 
stanlee,Stan Lee (as Bartender),am1 
stanlee,Stan Lee (as Fed-Ex Deliveryman),ca3 
stanlee,Stan Lee (as Bus Passenger),ds1 
stanlee,Stan Lee (as Watcher Informant),gotg2 
stanlee,Stan Lee (as Annoyed Neighbour),sm1 
stanlee,Stan Lee (as Space Barber),th3 
stanlee,Stan Lee (as Gambler),bp1 
